Cost is: 0.0 | 0 to 1
Cost is: 2042.8123362056872 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 120 to 121 to 242 to 243
Cost is: 1758.5413815329584 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 61 to 122 to 244
Cost is: 2002.5413815329584 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 61 to 122 to 244 to 245
Cost is: 1889.9207105070127 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 61 to 122 to 123 to 246
Cost is: 2135.9207105070127 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 60 to 61 to 122 to 123 to 246 to 247
Cost is: 1763.0703302446468 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 124 to 248
Cost is: 2011.0703302446468 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 124 to 248 to 249
Cost is: 1896.473023339435 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 124 to 125 to 250
Cost is: 2146.473023339435 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 124 to 125 to 250 to 251
Cost is: 1852.295722054172 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 63 to 126 to 252
Cost is: 2104.295722054172 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 63 to 126 to 252 to 253
Cost is: 1987.7214069132474 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 63 to 126 to 127 to 254
Cost is: 2241.7214069132474 | 0 to 1 to 2 to 3 to 6 to 7 to 14 to 15 to 30 to 31 to 62 to 63 to 126 to 127 to 254 to 255
Cost is: 1793.0 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 128 to 256
Cost is: 2049.0 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 128 to 256 to 257
Cost is: 1930.4483159495999 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 128 to 129 to 258
Cost is: 2188.4483159496 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 128 to 129 to 258 to 259
Cost is: 1884.3617235405486 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 65 to 130 to 260
Cost is: 2144.3617235405486 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 65 to 130 to 260 to 261
Cost is: 2023.8323210482554 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 65 to 130 to 131 to 262
Cost is: 2285.8323210482554 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 64 to 65 to 130 to 131 to 262 to 263
Cost is: 1887.2550415718028 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 132 to 264
Cost is: 2151.255041571803 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 132 to 264 to 265
Cost is: 2028.7475817381453 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 132 to 133 to 266
Cost is: 2294.7475817381455 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 132 to 133 to 266 to 267
Cost is: 1980.748933220841 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 67 to 134 to 268
Cost is: 2248.748933220841 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 67 to 134 to 268 to 269
Cost is: 2124.263087301362 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 67 to 134 to 135 to 270
Cost is: 2394.263087301362 | 0 to 1 to 2 to 4 to 8 to 16 to 32 to 33 to 66 to 67 to 134 to 135 to 270 to 271
Cost is: 1940.3030245188365 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 136 to 272
Cost is: 2212.3030245188365 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 136 to 272 to 273
Cost is: 2085.8384734743827 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 136 to 137 to 274
Cost is: 2359.8384734743827 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 136 to 137 to 274 to 275
Cost is: 2035.9251674568486 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 69 to 138 to 276
Cost is: 2311.9251674568486 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 69 to 138 to 276 to 277
Cost is: 2183.481601530029 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 69 to 138 to 139 to 278
Cost is: 2461.481601530029 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 68 to 69 to 138 to 139 to 278 to 279
Cost is: 2037.161207452773 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 140 to 280
Cost is: 2317.161207452773 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 140 to 280 to 281
Cost is: 2186.7383257687075 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 140 to 141 to 282
Cost is: 2468.7383257687075 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 140 to 141 to 282 to 283
Cost is: 2134.9079103488266 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 71 to 142 to 284
Cost is: 2418.9079103488266 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 71 to 142 to 284 to 285
Cost is: 2286.5054205384718 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 71 to 142 to 143 to 286
Cost is: 2572.5054205384718 | 0 to 1 to 2 to 4 to 8 to 16 to 17 to 34 to 35 to 70 to 71 to 142 to 143 to 286 to 287
Cost is: 2070.409075402405 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 144 to 288
Cost is: 2358.409075402405 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 144 to 288 to 289
Cost is: 2224.0266932468776 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 144 to 145 to 290
Cost is: 2514.0266932468776 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 144 to 145 to 290 to 291
Cost is: 2170.2768534855895 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 73 to 146 to 292
Cost is: 2462.2768534855895 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 73 to 146 to 292 to 293
Cost is: 2325.9143025800527 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 73 to 146 to 147 to 294
Cost is: 2619.9143025800527 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 72 to 73 to 146 to 147 to 294 to 295
Cost is: 2169.8363967368405 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 148 to 296
Cost is: 2465.8363967368405 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 148 to 296 to 297
Cost is: 2327.493408172618 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 148 to 149 to 298
Cost is: 2625.493408172618 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 148 to 149 to 298 to 299
Cost is: 2271.821954928787 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 75 to 150 to 300
Cost is: 2571.821954928787 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 75 to 150 to 300 to 301
Cost is: 2431.498266992492 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 75 to 150 to 151 to 302
Cost is: 2733.498266992492 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 36 to 37 to 74 to 75 to 150 to 151 to 302 to 303
Cost is: 2222.188666344403 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 152 to 304
Cost is: 2526.188666344403 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 152 to 304 to 305
Cost is: 2383.8840242329534 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 152 to 153 to 306
Cost is: 2689.8840242329534 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 152 to 153 to 306 to 307
Cost is: 2326.2888841797876 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 77 to 154 to 308
Cost is: 2634.2888841797876 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 77 to 154 to 308 to 309
Cost is: 2490.00303973028 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 77 to 154 to 155 to 310
Cost is: 2800.00303973028 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 76 to 77 to 154 to 155 to 310 to 311
Cost is: 2324.154753517803 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 156 to 312
Cost is: 2636.154753517803 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 156 to 312 to 313
Cost is: 2489.8874649512773 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 156 to 157 to 314
Cost is: 2803.8874649512773 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 156 to 157 to 314 to 315
Cost is: 2430.36667162201 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 79 to 158 to 316
Cost is: 2746.36667162201 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 79 to 158 to 316 to 317
Cost is: 2598.11770330024 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 79 to 158 to 159 to 318
Cost is: 2916.11770330024 | 0 to 1 to 2 to 4 to 8 to 9 to 18 to 19 to 38 to 39 to 78 to 79 to 158 to 159 to 318 to 319
Cost is: 2345.407349889519 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 160 to 320
Cost is: 2665.407349889519 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 160 to 320 to 321
Cost is: 2515.1764720839947 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 160 to 161 to 322
Cost is: 2837.1764720839947 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 160 to 161 to 322 to 323
Cost is: 2453.728157817516 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 81 to 162 to 324
Cost is: 2777.728157817516 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 81 to 162 to 324 to 325
Cost is: 2625.5151464898727 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 81 to 162 to 163 to 326
Cost is: 2951.5151464898727 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 80 to 81 to 162 to 163 to 326 to 327
Cost is: 2449.884908646448 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 164 to 328
Cost is: 2777.884908646448 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 164 to 328 to 329
Cost is: 2623.689545239642 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 164 to 165 to 330
Cost is: 2953.689545239642 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 164 to 165 to 330 to 331
Cost is: 2560.3119339157834 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 83 to 166 to 332
Cost is: 2892.3119339157834 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 83 to 166 to 332 to 333
Cost is: 2736.1340051553607 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 83 to 166 to 167 to 334
Cost is: 3070.1340051553607 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 40 to 41 to 82 to 83 to 166 to 167 to 334 to 335
Cost is: 2501.40890959862 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 168 to 336
Cost is: 2837.40890959862 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 168 to 336 to 337
Cost is: 2679.2482073034776 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 168 to 169 to 338
Cost is: 3017.2482073034776 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 168 to 169 to 338 to 339
Cost is: 2613.9396077734864 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 85 to 170 to 340
Cost is: 2953.9396077734864 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 85 to 170 to 340 to 341
Cost is: 2793.795928675566 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 85 to 170 to 171 to 342
Cost is: 3135.795928675566 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 84 to 85 to 170 to 171 to 342 to 343
Cost is: 2608.3732784669955 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 172 to 344
Cost is: 2952.3732784669955 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 172 to 344 to 345
Cost is: 2790.2464240393883 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 172 to 173 to 346
Cost is: 3136.2464240393883 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 172 to 173 to 346 to 347
Cost is: 2723.005224170373 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 87 to 174 to 348
Cost is: 3071.005224170373 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 87 to 174 to 348 to 349
Cost is: 2906.8950004633516 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 87 to 174 to 175 to 350
Cost is: 3256.8950004633516 | 0 to 1 to 2 to 4 to 5 to 10 to 20 to 21 to 42 to 43 to 86 to 87 to 174 to 175 to 350 to 351
Cost is: 2634.275822429755 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 176 to 352
Cost is: 2986.275822429755 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 176 to 352 to 353
Cost is: 2820.1820399142816 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 176 to 177 to 354
Cost is: 3174.1820399142816 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 176 to 177 to 354 to 355
Cost is: 2751.006701177537 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 89 to 178 to 356
Cost is: 3107.006701177537 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 89 to 178 to 356 to 357
Cost is: 2938.92917459582 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 89 to 178 to 179 to 358
Cost is: 3296.92917459582 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 88 to 89 to 178 to 179 to 358 to 359
Cost is: 2743.7046092333153 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 180 to 360
Cost is: 3103.7046092333153 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 180 to 360 to 361
Cost is: 2933.6431574560343 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 180 to 181 to 362
Cost is: 3295.6431574560343 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 180 to 181 to 362 to 363
Cost is: 2862.532209998547 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 91 to 182 to 364
Cost is: 3226.532209998547 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 91 to 182 to 364 to 365
Cost is: 3054.486655888364 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 91 to 182 to 183 to 366
Cost is: 3420.486655888364 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 44 to 45 to 90 to 91 to 182 to 183 to 366 to 367
Cost is: 2794.2922631191163 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 184 to 368
Cost is: 3162.2922631191163 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 184 to 368 to 369
Cost is: 2988.262433400144 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 184 to 185 to 370
Cost is: 3358.262433400144 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 184 to 185 to 370 to 371
Cost is: 2915.214471546522 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 93 to 186 to 372
Cost is: 3287.214471546522 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 93 to 186 to 372 to 373
Cost is: 3111.200196679416 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 93 to 186 to 187 to 374
Cost is: 3485.200196679416 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 92 to 93 to 186 to 187 to 374 to 375
Cost is: 2906.165045470701 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 188 to 376
Cost is: 3282.165045470701 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 188 to 376 to 377
Cost is: 3104.166159533088 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 188 to 189 to 378
Cost is: 3482.166159533088 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 188 to 189 to 378 to 379
Cost is: 3029.179837671927 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 95 to 190 to 380
Cost is: 3409.179837671927 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 95 to 190 to 380 to 381
Cost is: 3229.1961782438757 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 95 to 190 to 191 to 382
Cost is: 3611.1961782438757 | 0 to 1 to 2 to 4 to 5 to 10 to 11 to 22 to 23 to 46 to 47 to 94 to 95 to 190 to 191 to 382 to 383
Cost is: 2913.8707127747607 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 192 to 384
Cost is: 3297.8707127747607 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 192 to 384 to 385
Cost is: 3115.902120829038 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 192 to 193 to 386
Cost is: 3501.902120829038 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 192 to 193 to 386 to 387
Cost is: 3038.9761496435217 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 97 to 194 to 388
Cost is: 3426.9761496435217 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 97 to 194 to 388 to 389
Cost is: 3243.0224694403933 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 97 to 194 to 195 to 390
Cost is: 3633.0224694403933 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 96 to 97 to 194 to 195 to 390 to 391
Cost is: 3028.1687890639687 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 196 to 392
Cost is: 3420.1687890639687 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 196 to 392 to 393
Cost is: 3234.229868050294 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 196 to 197 to 394
Cost is: 3628.229868050294 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 196 to 197 to 394 to 395
Cost is: 3155.3630110577415 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 99 to 198 to 396
Cost is: 3551.3630110577415 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 99 to 198 to 396 to 397
Cost is: 3363.438699770165 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 99 to 198 to 199 to 398
Cost is: 3761.438699770165 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 48 to 49 to 98 to 99 to 198 to 199 to 398 to 399
Cost is: 3077.7302836806657 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 200 to 400
Cost is: 3477.7302836806657 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 200 to 400 to 401
Cost is: 3287.820435652686 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 200 to 201 to 402
Cost is: 3689.820435652686 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 200 to 201 to 402 to 403
Cost is: 3207.0115060220423 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 101 to 202 to 404
Cost is: 3611.0115060220423 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 101 to 202 to 404 to 405
Cost is: 3419.1159776947707 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 101 to 202 to 203 to 406
Cost is: 3825.1159776947707 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 100 to 101 to 202 to 203 to 406 to 407
Cost is: 3194.4364643433364 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 204 to 408
Cost is: 3602.4364643433364 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 204 to 408 to 409
Cost is: 3408.555114979768 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 204 to 205 to 410
Cost is: 3818.555114979768 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 204 to 205 to 410 to 411
Cost is: 3325.802972599673 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 103 to 206 to 412
Cost is: 3737.802972599673 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 103 to 206 to 412 to 413
Cost is: 3541.9356642022904 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 103 to 206 to 207 to 414
Cost is: 3955.9356642022904 | 0 to 1 to 2 to 3 to 6 to 12 to 24 to 25 to 50 to 51 to 102 to 103 to 206 to 207 to 414 to 415
Cost is: 3212.5418689173503 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 104 to 208 to 416
Cost is: 3628.5418689173503 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 104 to 208 to 416 to 417
Cost is: 3430.6884661489075 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 104 to 208 to 209 to 418
Cost is: 3848.6884661489075 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 104 to 208 to 209 to 418 to 419
Cost is: 3345.992014922158 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 104 to 105 to 210 to 420
Cost is: 3765.992014922158 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 104 to 105 to 210 to 420 to 421
Cost is: 3566.152385029489 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 104 to 105 to 210 to 211 to 422
Cost is: 3988.152385029489 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 104 to 105 to 210 to 211 to 422 to 423
Cost is: 3331.64030015694 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 53 to 106 to 212 to 424
Cost is: 3755.64030015694 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 53 to 106 to 212 to 424 to 425
Cost is: 3553.8143128976453 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 53 to 106 to 212 to 213 to 426
Cost is: 3979.8143128976453 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 53 to 106 to 212 to 213 to 426 to 427
Cost is: 3467.1724982406104 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 53 to 106 to 107 to 214 to 428
Cost is: 3895.1724982406104 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 53 to 106 to 107 to 214 to 428 to 429
Cost is: 3691.360025812499 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 53 to 106 to 107 to 214 to 215 to 430
Cost is: 4121.360025812499 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 52 to 53 to 106 to 107 to 214 to 215 to 430 to 431
Cost is: 3380.09981721853 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 108 to 216 to 432
Cost is: 3812.09981721853 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 108 to 216 to 432 to 433
Cost is: 3606.3007341916723 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 108 to 216 to 217 to 434
Cost is: 4040.3007341916723 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 108 to 216 to 217 to 434 to 435
Cost is: 3517.71254071962 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 108 to 109 to 218 to 436
Cost is: 3953.71254071962 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 108 to 109 to 218 to 436 to 437
Cost is: 3745.9267239709075 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 108 to 109 to 218 to 219 to 438
Cost is: 4183.926723970908 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 108 to 109 to 218 to 219 to 438 to 439
Cost is: 3501.5758311077325 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 55 to 110 to 220 to 440
Cost is: 3941.5758311077325 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 55 to 110 to 220 to 440 to 441
Cost is: 3731.803159757814 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 55 to 110 to 220 to 221 to 442
Cost is: 4173.803159757814 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 55 to 110 to 220 to 221 to 442 to 443
Cost is: 3641.26760913918 | 0 to 1 to 2 to 3 to 6 to 12 to 13 to 26 to 27 to 54 to 55 to 110 to 111 to 222 to 444
